step,time_days,seg,Ncell,D_um,Q_uLday,tau_Pa
36,5.0,27,0.0,0.0,2.485402920575227e-11,0.0
36,5.0,28,0.0,0.0,2.4854029205752146e-11,0.0
36,5.0,29,0.0,0.0,2.485402920575208e-11,0.0
36,5.0,30,0.0,0.0,2.4854029205752023e-11,0.0
36,5.0,31,0.0,0.0,2.485402920575208e-11,0.0
36,5.0,32,0.0,0.0,2.4854029205752023e-11,0.0
36,5.0,33,0.0,0.0,2.485402920575208e-11,0.0
36,5.0,34,0.0,0.0,2.4854029205752023e-11,0.0
36,5.0,35,0.0,0.0,2.4854029205752023e-11,0.0
36,5.0,36,0.0,0.0,2.4854029205752023e-11,0.0
36,5.0,37,0.0,0.0,2.4854029205752055e-11,0.0
36,5.0,38,0.0,0.0,2.4854029205752055e-11,0.0
36,5.0,39,0.0,0.0,2.4854029205752117e-11,0.0
