alpha,day,day_label,n_total,n_loss_in_day,loss_pct
0.39,4,Day 4,50,6,12.0
0.39,5,Day 5,50,2,4.0
0.4,1,Day 1,50,0,0.0
0.4,2,Day 2,50,0,0.0
0.4,3,Day 3,50,3,6.0
0.4,4,Day 4,50,5,10.0
0.4,5,Day 5,50,2,4.0
0.41,1,Day 1,50,0,0.0
0.41,2,Day 2,50,0,0.0
0.41,3,Day 3,50,3,6.0
0.41,4,Day 4,50,6,12.0
0.41,5,Day 5,50,2,4.0
0.42,1,Day 1,50,0,0.0
0.42,2,Day 2,50,0,0.0
0.42,3,Day 3,50,4,8.0
0.42,4,Day 4,50,6,12.0
0.42,5,Day 5,50,2,4.0
0.43,1,Day 1,50,0,0.0
0.43,2,Day 2,50,0,0.0
0.43,3,Day 3,50,3,6.0
0.43,4,Day 4,50,6,12.0
0.43,5,Day 5,50,2,4.0
0.44,1,Day 1,50,0,0.0
0.44,2,Day 2,50,0,0.0
0.44,3,Day 3,50,2,4.0
0.44,4,Day 4,50,6,12.0
0.44,5,Day 5,50,2,4.0
0.45,1,Day 1,50,0,0.0
0.45,2,Day 2,50,0,0.0
0.45,3,Day 3,50,2,4.0
0.45,4,Day 4,50,6,12.0
0.45,5,Day 5,50,1,2.0
0.46,1,Day 1,50,0,0.0
0.46,2,Day 2,50,0,0.0
0.46,3,Day 3,50,2,4.0
0.46,4,Day 4,50,6,12.0
0.46,5,Day 5,50,1,2.0
0.47,1,Day 1,50,0,0.0
0.47,2,Day 2,50,0,0.0
0.47,3,Day 3,50,2,4.0
0.47,4,Day 4,50,5,10.0
0.47,5,Day 5,50,1,2.0
0.48,1,Day 1,50,0,0.0
0.48,2,Day 2,50,0,0.0
0.48,3,Day 3,50,3,6.0
0.48,4,Day 4,50,5,10.0
0.48,5,Day 5,50,1,2.0
0.49,1,Day 1,50,0,0.0
0.49,2,Day 2,50,0,0.0
0.49,3,Day 3,50,3,6.0
0.49,4,Day 4,50,5,10.0
0.49,5,Day 5,50,2,4.0
0.5,1,Day 1,50,0,0.0
0.5,2,Day 2,50,0,0.0
0.5,3,Day 3,50,3,6.0
0.5,4,Day 4,50,6,12.0
0.5,5,Day 5,50,2,4.0
0.51,1,Day 1,50,0,0.0
0.51,2,Day 2,50,0,0.0
0.51,3,Day 3,50,3,6.0
0.51,4,Day 4,50,7,14.0
0.51,5,Day 5,50,2,4.0
0.52,1,Day 1,50,0,0.0
0.52,2,Day 2,50,0,0.0
0.52,3,Day 3,50,3,6.0
0.52,4,Day 4,50,7,14.0
0.52,5,Day 5,50,3,6.0
0.53,1,Day 1,50,0,0.0
0.53,2,Day 2,50,0,0.0
0.53,3,Day 3,50,3,6.0
0.53,4,Day 4,50,6,12.0
0.53,5,Day 5,50,5,10.0
0.54,1,Day 1,50,0,0.0
0.54,2,Day 2,50,0,0.0
0.54,3,Day 3,50,3,6.0
0.54,4,Day 4,50,6,12.0
0.54,5,Day 5,50,6,12.0
0.55,1,Day 1,50,0,0.0
0.55,2,Day 2,50,0,0.0
0.55,3,Day 3,50,3,6.0
0.55,4,Day 4,50,6,12.0
0.55,5,Day 5,50,6,12.0
0.56,1,Day 1,50,0,0.0
0.56,2,Day 2,50,1,2.0
0.56,3,Day 3,50,3,6.0
