rule,alpha,seed,loss_time,loss_branch,branch_collapse_time,branch_collapse_branch,final_prox_diam,final_dist_diam,hierarchy_success,joint_success,stable
BR5,0.03,359525749,0,0,0,0,7.16197243913529,9.071831756238037,0,0,1
BR5,0.03,434285668,0,0,0,0,11.61831084570836,8.594366926962348,1,1,1
BR5,0.03,613608296,0,0,29,0,2.705634032562221,17.507043740108486,0,0,1
BR5,0.03,893664920,0,0,0,0,9.390141642421826,6.207042780583919,1,1,1
BR5,0.03,648061059,0,0,33,2,16.233804195373327,4.297183463481174,1,1,1
BR5,0.03,88409750,0,0,0,0,6.207042780583919,14.005634992086788,0,0,1
BR5,0.03,242285877,0,0,6,0,10.185916357881306,5.092958178940652,1,1,1
BR5,0.03,944505602,19,1,9,1,0.0,11.777465788800257,0,0,0
BR5,0.03,953477464,0,0,23,0,3.3422538049298027,12.095775674984045,0,0,1
BR5,0.03,354088428,21,1,12,1,0.0,12.095775674984049,0,0,0
BR5,0.03,809827742,0,0,0,0,6.6845076098596055,8.435211983870454,0,0,1
BR5,0.03,911989542,0,0,18,2,22.122537089773452,0.0,1,1,1
BR5,0.03,3344770,0,0,0,0,4.297183463481174,11.300000959524569,0,0,1
BR5,0.03,780932288,11,1,2,1,0.0,13.687325105903,0,0,0
BR5,0.03,787716373,27,0,8,0,19.735212943395027,7.480282325319081,1,0,0
BR5,0.03,504579233,0,0,0,0,14.483099821362476,11.459155902616464,1,1,1
BR5,0.03,232968652,0,0,33,0,14.483099821362476,3.023943918746012,1,1,1
BR5,0.03,479546682,0,0,10,0,13.369015219719207,9.549296585513721,1,1,1
BR5,0.03,106328086,0,0,24,2,15.438029479913848,4.77464829275686,1,1,1
BR5,0.03,30349565,0,0,32,1,4.933803235848756,7.9577471545947684,0,0,1
BR5,0.03,781447916,0,0,35,1,3.8197186342054885,12.732395447351628,0,0,1
BR5,0.03,99052377,0,0,10,0,5.411268065124442,8.753521870054245,0,0,1
BR5,0.03,177077809,0,0,0,0,10.822536130248883,10.822536130248883,0,0,1
BR5,0.03,106406363,0,0,0,0,9.708451528605618,12.891550390443522,0,0,1
BR5,0.03,480404539,0,0,9,1,2.546479089470325,10.185916357881302,0,0,1
BR5,0.03,643647999,28,0,8,0,16.552114081557118,7.002817496043396,1,0,0
BR5,0.03,599121578,0,0,1,0,4.615493349664964,19.894367886486922,0,0,1
BR5,0.03,200427520,0,0,31,2,21.326762374313976,0.6366197723675814,1,1,1
BR5,0.03,181009884,0,0,0,0,11.140846016432675,10.345071300973197,1,1,1
BR5,0.03,961022652,0,0,34,2,11.618310845708361,3.3422538049298027,1,1,1
BR5,0.03,499770320,20,1,8,1,0.0,9.230986699329929,0,0,0
BR5,0.03,999745295,0,0,0,0,11.30000095952457,10.822536130248883,1,1,1
BR5,0.03,885063870,0,0,0,0,14.960564650638162,5.411268065124442,1,1,1
BR5,0.03,389151678,0,0,0,0,9.390141642421828,9.390141642421826,1,1,1
BR5,0.03,151079599,0,0,24,2,15.915494309189537,7.321127382227187,1,1,1
