step,time_days,seg,Ncell,D_um,Q_uLday,tau_Pa
0,0.0,32,8.0,12.732395447351628,3.1846086571753562,0.6366197723675814
0,0.0,33,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,34,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,35,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,36,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,37,8.0,12.732395447351628,3.1846086571753784,0.6366197723675858
0,0.0,38,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
0,0.0,39,8.0,12.732395447351628,3.1846086571753682,0.6366197723675836
36,5.0,0,6.0,9.549296585513721,0.3586543638590708,0.1699481263106565
36,5.0,1,3.0,4.7746482927568605,0.3586543638590721,1.3595850104852572
36,5.0,2,3.0,4.7746482927568605,0.3586543638590717,1.3595850104852554
36,5.0,3,4.0,6.366197723675814,0.3586543638590708,0.5735749262984656
36,5.0,4,14.0,22.28169203286535,0.3586543638591058,0.013377840846612747
36,5.0,5,0.0,0.0,1.3024081610092711e-11,0.0
36,5.0,6,0.0,0.0,1.3024081610092836e-11,0.0
36,5.0,7,0.0,0.0,1.3024081610092836e-11,0.0
36,5.0,8,0.0,0.0,1.3024081610092836e-11,0.0
36,5.0,9,0.0,0.0,1.3024081610092957e-11,0.0
36,5.0,10,0.0,0.0,1.3024081610092897e-11,0.0
36,5.0,11,0.0,0.0,1.302408161009308e-11,0.0
36,5.0,12,0.0,0.0,1.302408161009308e-11,0.0
36,5.0,13,0.0,0.0,1.302408161009308e-11,0.0
36,5.0,14,0.0,0.0,1.3024081610092957e-11,0.0
36,5.0,15,2.0,3.183098861837907,0.35865436386062405,4.588599410407597
36,5.0,16,15.0,23.873241463784304,0.35865436386062405,0.01087668008392912
36,5.0,17,15.0,23.873241463784304,0.35865436386062405,0.01087668008392912
36,5.0,18,12.0,19.098593171027442,0.35865436386062394,0.021243515788924056
36,5.0,19,11.0,17.50704374010849,0.3586543638606238,0.02757986121957983
36,5.0,20,15.0,23.873241463784304,0.3586543638464202,0.01087668008349837
36,5.0,21,10.0,15.915494309189533,0.35865436384641647,0.03670879528180663
36,5.0,22,6.0,9.549296585513721,0.3586543638463911,0.16994812630464823
36,5.0,23,6.0,9.549296585513721,0.35865436384639826,0.16994812630465161
36,5.0,24,6.0,9.549296585513721,0.3586543638463911,0.16994812630464823
36,5.0,25,6.0,9.549296585513721,0.3586543638463911,0.16994812630464823
36,5.0,26,8.0,12.732395447351628,0.35865436384637367,0.07169686578476998
36,5.0,27,17.0,27.05634032562221,0.35865436384617133,0.0074717678163609864
36,5.0,28,17.0,27.05634032562221,0.35865436384617133,0.0074717678163609864
36,5.0,29,10.0,15.915494309189533,0.3586543638465822,0.036708795281823595
36,5.0,30,10.0,15.915494309189533,0.3586543638465822,0.036708795281823595
36,5.0,31,10.0,15.915494309189533,0.3586543638465822,0.036708795281823595
36,5.0,32,10.0,15.915494309189533,0.3586543638466375,0.03670879528182924
36,5.0,33,11.0,17.50704374010849,0.3586543638466738,0.0275798612185071
36,5.0,34,20.0,31.830988618379067,0.3586543638469137,0.00458859941023219
36,5.0,35,19.0,30.239439187460118,0.35865436384763677,0.005351916501229262
36,5.0,36,18.0,28.64788975654116,0.35865436384712124,0.00629437504833312
36,5.0,37,17.0,27.05634032562221,0.3586543638475556,0.007471767816389824
36,5.0,38,16.0,25.464790894703256,0.3586543638475051,0.008962108223124519
36,5.0,39,3.0,4.7746482927568605,0.3586543638475999,1.3595850104417684
