alpha,event,step,time_days,cumulative_pct
0.45,One-sided routing,23,3.1944444444444446,66.66666666666667
0.45,One-sided routing,24,3.3333333333333335,70.0
0.45,One-sided routing,25,3.4722222222222223,71.66666666666667
0.45,One-sided routing,26,3.611111111111111,76.66666666666667
0.45,One-sided routing,27,3.75,76.66666666666667
0.45,One-sided routing,28,3.8888888888888893,76.66666666666667
0.45,One-sided routing,29,4.027777777777778,78.33333333333333
0.45,One-sided routing,30,4.166666666666667,78.33333333333333
0.45,One-sided routing,31,4.305555555555555,78.33333333333333
0.45,One-sided routing,32,4.444444444444445,78.33333333333333
0.45,One-sided routing,33,4.583333333333334,78.33333333333333
0.45,One-sided routing,34,4.722222222222222,78.33333333333333
0.45,One-sided routing,35,4.861111111111112,78.33333333333333
0.45,One-sided routing,36,5.0,78.33333333333333
1.0,One-sided routing,0,0.0,0.0
1.0,One-sided routing,1,0.1388888888888889,38.333333333333336
1.0,One-sided routing,2,0.2777777777777778,61.666666666666664
1.0,One-sided routing,3,0.4166666666666667,70.0
1.0,One-sided routing,4,0.5555555555555556,76.66666666666667
1.0,One-sided routing,5,0.6944444444444444,76.66666666666667
1.0,One-sided routing,6,0.8333333333333334,86.66666666666667
1.0,One-sided routing,7,0.9722222222222223,88.33333333333333
1.0,One-sided routing,8,1.1111111111111112,91.66666666666667
1.0,One-sided routing,9,1.25,93.33333333333333
1.0,One-sided routing,10,1.3888888888888888,100.0
1.0,One-sided routing,11,1.527777777777778,100.0
1.0,One-sided routing,12,1.6666666666666667,100.0
1.0,One-sided routing,13,1.8055555555555556,100.0
1.0,One-sided routing,14,1.9444444444444446,100.0
1.0,One-sided routing,15,2.0833333333333335,100.0
1.0,One-sided routing,16,2.2222222222222223,100.0
1.0,One-sided routing,17,2.361111111111111,100.0
1.0,One-sided routing,18,2.5,100.0
1.0,One-sided routing,19,2.638888888888889,100.0
1.0,One-sided routing,20,2.7777777777777777,100.0
1.0,One-sided routing,21,2.916666666666667,100.0
1.0,One-sided routing,22,3.055555555555556,100.0
1.0,One-sided routing,23,3.1944444444444446,100.0
1.0,One-sided routing,24,3.3333333333333335,100.0
1.0,One-sided routing,25,3.4722222222222223,100.0
1.0,One-sided routing,26,3.611111111111111,100.0
1.0,One-sided routing,27,3.75,100.0
1.0,One-sided routing,28,3.8888888888888893,100.0
1.0,One-sided routing,29,4.027777777777778,100.0
1.0,One-sided routing,30,4.166666666666667,100.0
1.0,One-sided routing,31,4.305555555555555,100.0
1.0,One-sided routing,32,4.444444444444445,100.0
1.0,One-sided routing,33,4.583333333333334,100.0
1.0,One-sided routing,34,4.722222222222222,100.0
1.0,One-sided routing,35,4.861111111111112,100.0
1.0,One-sided routing,36,5.0,100.0
