alpha,seed,loss_time,first_loss_branch,stable
0.55,429389015,15,1,0
0.55,249467211,0,0,1
0.55,898717131,0,0,1
0.55,498972760,36,2,0
0.55,359525749,0,0,1
0.55,434285668,0,0,1
0.55,613608296,0,0,1
0.55,893664920,0,0,1
0.55,648061059,30,2,0
0.55,88409750,33,2,0
0.55,242285877,0,0,1
0.55,944505602,20,1,0
0.55,953477464,32,2,0
0.55,354088428,0,0,1
0.55,809827742,0,0,1
0.55,911989542,0,0,1
0.55,3344770,0,0,1
0.55,780932288,0,0,1
0.55,787716373,0,0,1
0.55,504579233,0,0,1
0.55,232968652,19,1,0
0.55,479546682,0,0,1
0.55,106328086,0,0,1
0.55,30349565,36,2,0
0.55,781447916,22,1,0
0.55,99052377,0,0,1
0.55,177077809,0,0,1
0.55,106406363,0,0,1
0.55,480404539,0,0,1
0.55,643647999,0,0,1
0.55,599121578,24,2,0
0.55,200427520,0,0,1
0.55,181009884,0,0,1
0.55,961022652,0,0,1
0.55,499770320,0,0,1
0.55,999745295,0,0,1
0.55,885063870,0,0,1
0.55,389151678,22,2,0
0.55,151079599,0,0,1
0.55,508464062,0,0,1
0.55,857592371,0,0,1
0.55,568919916,0,0,1
0.55,61136439,29,2,0
0.55,396917568,0,0,1
0.55,930989561,0,0,1
0.55,199502979,0,0,1
0.55,472190437,32,2,0
0.55,461901619,0,0,1
0.55,774414983,0,0,1
0.6,534895719,27,2,0
0.6,199900596,0,0,1
0.6,862061405,0,0,1
0.6,787846415,26,2,0
0.6,996406379,24,2,0
0.6,127521864,0,0,1
0.6,423734973,0,0,1
0.6,415968277,0,0,1
0.6,670094951,0,0,1
0.6,841095290,33,2,0
0.6,669991379,0,0,1
0.6,429389015,14,1,0
0.6,249467211,0,0,1
0.6,898717131,0,0,1
0.6,498972760,0,0,1
0.6,359525749,0,0,1
0.6,434285668,21,2,0
0.6,613608296,0,0,1
0.6,893664920,0,0,1
0.6,648061059,30,2,0
0.6,88409750,33,2,0
0.6,242285877,0,0,1
0.6,944505602,20,1,0
0.6,953477464,0,0,1
0.6,354088428,0,0,1
0.6,809827742,35,1,0
0.6,911989542,0,0,1
0.6,3344770,0,0,1
0.6,780932288,0,0,1
0.6,787716373,0,0,1
0.6,504579233,0,0,1
0.6,232968652,19,1,0
0.6,479546682,0,0,1
0.6,106328086,0,0,1
0.6,30349565,0,0,1
0.6,781447916,27,1,0
0.6,99052377,0,0,1
0.6,177077809,0,0,1
0.6,106406363,0,0,1
0.6,480404539,36,1,0
0.6,643647999,0,0,1
0.6,599121578,24,2,0
0.6,200427520,0,0,1
0.6,181009884,0,0,1
0.6,961022652,0,0,1
0.6,499770320,0,0,1
0.6,999745295,0,0,1
0.6,885063870,0,0,1
0.6,389151678,22,2,0
0.6,151079599,0,0,1
0.6,508464062,0,0,1
0.6,857592371,0,0,1
0.6,568919916,0,0,1
0.6,61136439,29,2,0
0.6,396917568,0,0,1
0.6,930989561,0,0,1
0.6,199502979,0,0,1
0.6,472190437,32,2,0
0.6,461901619,17,1,0
0.6,774414983,19,1,0
0.65,534895719,27,2,0
0.65,199900596,0,0,1
0.65,862061405,0,0,1
0.65,787846415,26,2,0
0.65,996406379,24,2,0
0.65,127521864,0,0,1
0.65,423734973,0,0,1
0.65,415968277,31,1,0
0.65,670094951,0,0,1
0.65,841095290,32,2,0
0.65,669991379,0,0,1
0.65,429389015,14,1,0
0.65,249467211,0,0,1
0.65,898717131,0,0,1
0.65,498972760,0,0,1
0.65,359525749,0,0,1
0.65,434285668,21,2,0
0.65,613608296,0,0,1
0.65,893664920,0,0,1
0.65,648061059,30,2,0
0.65,88409750,33,2,0
0.65,242285877,0,0,1
0.65,944505602,20,1,0
0.65,953477464,0,0,1
0.65,354088428,0,0,1
0.65,809827742,0,0,1
0.65,911989542,0,0,1
0.65,3344770,0,0,1
0.65,780932288,0,0,1
0.65,787716373,0,0,1
0.65,504579233,0,0,1
0.65,232968652,0,0,1
0.65,479546682,0,0,1
0.65,106328086,0,0,1
0.65,30349565,0,0,1
0.65,781447916,0,0,1
0.65,99052377,0,0,1
0.65,177077809,0,0,1
0.65,106406363,0,0,1
0.65,480404539,0,0,1
0.65,643647999,0,0,1
0.65,599121578,24,2,0
0.65,200427520,0,0,1
0.65,181009884,0,0,1
0.65,961022652,0,0,1
0.65,499770320,0,0,1
0.65,999745295,0,0,1
0.65,885063870,0,0,1
0.65,389151678,22,2,0
0.65,151079599,0,0,1
0.65,508464062,0,0,1
0.65,857592371,0,0,1
0.65,568919916,0,0,1
0.65,61136439,0,0,1
0.65,396917568,0,0,1
0.65,930989561,0,0,1
0.65,199502979,0,0,1
0.65,472190437,32,2,0
0.65,461901619,17,1,0
0.65,774414983,19,1,0
0.7,534895719,0,0,1
0.7,199900596,0,0,1
0.7,862061405,0,0,1
0.7,787846415,26,2,0
0.7,996406379,24,2,0
0.7,127521864,0,0,1
0.7,423734973,0,0,1
0.7,415968277,0,0,1
0.7,670094951,0,0,1
0.7,841095290,0,0,1
0.7,669991379,0,0,1
0.7,429389015,14,1,0
0.7,249467211,36,2,0
0.7,898717131,0,0,1
0.7,498972760,0,0,1
0.7,359525749,0,0,1
0.7,434285668,21,2,0
0.7,613608296,0,0,1
0.7,893664920,0,0,1
0.7,648061059,28,2,0
0.7,88409750,33,2,0
0.7,242285877,0,0,1
0.7,944505602,0,0,1
0.7,953477464,0,0,1
0.7,354088428,0,0,1
0.7,809827742,0,0,1
0.7,911989542,0,0,1
0.7,3344770,0,0,1
0.7,780932288,0,0,1
0.7,787716373,0,0,1
0.7,504579233,0,0,1
0.7,232968652,0,0,1
0.7,479546682,0,0,1
0.7,106328086,0,0,1
0.7,30349565,0,0,1
0.7,781447916,0,0,1
0.7,99052377,0,0,1
0.7,177077809,0,0,1
0.7,106406363,0,0,1
0.7,480404539,0,0,1
0.7,643647999,0,0,1
0.7,599121578,24,2,0
0.7,200427520,0,0,1
0.7,181009884,0,0,1
0.7,961022652,0,0,1
0.7,499770320,0,0,1
0.7,999745295,0,0,1
0.7,885063870,34,2,0
0.7,389151678,22,2,0
0.7,151079599,0,0,1
0.7,508464062,0,0,1
0.7,857592371,0,0,1
0.7,568919916,0,0,1
0.7,61136439,28,2,0
0.7,396917568,0,0,1
0.7,930989561,0,0,1
0.7,199502979,0,0,1
0.7,472190437,34,2,0
0.7,461901619,17,1,0
0.7,774414983,19,1,0
0.75,534895719,0,0,1
0.75,199900596,0,0,1
0.75,862061405,0,0,1
0.75,787846415,26,2,0
0.75,996406379,24,2,0
