seed_idx,step,time_days,mean_diam_prox,mean_diam_dist,loss_time,stable,hierarchy_success
0,35,4.861111111111112,10.026761414789409,8.276057040778559,0,1,1
0,36,5.0,10.3450713009732,8.116902097686665,0,1,1
1,0,0.0,12.732395447351626,12.732395447351626,14,0,1
1,1,0.1388888888888889,12.414085561167838,12.414085561167838,14,0,1
1,2,0.2777777777777778,11.459155902616464,11.61831084570836,14,0,1
1,3,0.4166666666666667,10.663381187156988,11.30000095952457,14,0,1
1,4,0.5555555555555556,10.026761414789407,10.981691073340778,14,0,1
1,5,0.6944444444444445,9.071831756238034,10.185916357881302,14,0,1
1,6,0.8333333333333334,8.594366926962348,9.230986699329929,14,0,1
1,7,0.9722222222222223,8.116902097686662,8.435211983870454,14,0,1
1,8,1.1111111111111112,7.798592211502873,7.798592211502871,14,0,1
1,9,1.25,7.3211273822271865,7.16197243913529,14,0,1
1,10,1.388888888888889,6.6845076098596055,7.002817496043394,14,0,1
1,11,1.527777777777778,6.047887837492023,7.16197243913529,14,0,1
1,12,1.6666666666666667,6.8436625529515,7.798592211502873,14,0,1
1,13,1.8055555555555556,7.798592211502873,8.59436692696235,14,0,1
1,14,1.9444444444444446,8.435211983870454,9.549296585513721,14,0,1
1,15,2.0833333333333335,9.867606471697513,10.026761414789409,14,0,1
1,16,2.2222222222222223,10.3450713009732,10.50422624406509,14,0,1
1,17,2.361111111111111,10.026761414789409,11.777465788800257,14,0,1
1,18,2.5,10.504226244065093,11.777465788800255,14,0,1
1,19,2.638888888888889,11.140846016432674,11.936620731892152,14,0,1
1,20,2.777777777777778,11.459155902616464,13.369015219719211,14,0,1
1,21,2.9166666666666665,11.777465788800257,14.32394487827058,14,0,1
1,22,3.055555555555556,12.254930618075942,14.005634992086792,14,0,1
1,23,3.1944444444444446,11.618310845708361,13.050705333535415,14,0,1
1,24,3.3333333333333335,10.185916357881302,12.095775674984045,14,0,1
1,25,3.4722222222222228,8.91267681314614,11.140846016432674,14,0,1
1,26,3.611111111111111,8.91267681314614,11.140846016432674,14,0,1
1,27,3.75,10.026761414789409,10.822536130248883,14,0,1
1,28,3.8888888888888893,10.66338118715699,10.663381187156986,14,0,1
1,29,4.027777777777778,10.98169107334078,10.504226244065093,14,0,1
1,30,4.166666666666667,10.345071300973197,10.504226244065093,14,0,1
1,31,4.305555555555556,9.549296585513721,9.708451528605616,14,0,1
1,32,4.444444444444445,9.549296585513721,8.753521870054243,14,0,1
1,33,4.583333333333333,9.230986699329929,8.912676813146138,14,0,1
1,34,4.722222222222222,9.708451528605616,9.549296585513721,14,0,1
1,35,4.861111111111112,10.66338118715699,10.185916357881302,14,0,1
1,36,5.0,11.30000095952457,10.663381187156988,14,0,1
2,0,0.0,12.732395447351626,12.732395447351626,0,1,0
2,1,0.1388888888888889,12.095775674984047,12.095775674984047,0,1,0
2,2,0.2777777777777778,11.618310845708361,11.618310845708361,0,1,0
2,3,0.4166666666666667,11.30000095952457,10.66338118715699,0,1,0
2,4,0.5555555555555556,10.504226244065093,10.185916357881302,0,1,0
2,5,0.6944444444444445,10.026761414789407,9.23098669932993,0,1,0
2,6,0.8333333333333334,9.071831756238035,8.753521870054243,0,1,0
2,7,0.9722222222222223,8.435211983870454,8.435211983870452,0,1,0
2,8,1.1111111111111112,8.276057040778557,7.639437268410975,0,1,0
2,9,1.25,7.639437268410977,7.3211273822271865,0,1,0
2,10,1.388888888888889,7.16197243913529,6.525352666767709,0,1,0
2,11,1.527777777777778,6.5253526667677075,6.366197723675815,0,1,0
2,12,1.6666666666666667,6.366197723675813,7.16197243913529,0,1,0
2,13,1.8055555555555556,6.8436625529515,8.276057040778557,0,1,0
2,14,1.9444444444444446,7.480282325319081,9.708451528605618,0,1,0
2,15,2.0833333333333335,8.753521870054245,10.663381187156988,0,1,0
2,16,2.2222222222222223,9.708451528605616,11.61831084570836,0,1,0
2,17,2.361111111111111,11.140846016432674,11.618310845708361,0,1,0
